cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:1-1A01.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	22	110.00994110107398	1	110.00994110107398	0.0	118.19745454545456	11	11	1-1A01.mzML,bkgrnd-marine-broth.mzML	2																																														
2	2	110.009941101074	1	110.009941101074	0.0	106.635	1	1	1-1A01.mzML,bkgrnd-marine-broth.mzML	2																																														
3	12	117.07435989379898	1	117.07435989379896	0.0	463.2875	6	6	1-1A01.mzML,bkgrnd-marine-broth.mzML	-1	CCMSLIB00006121072	3.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.851206	13521.3	461.42	8958.61	5.0	1.03951	117.075	1.0	temp/specs_ms.mgf3	1.0	Aceturic acid - 30.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M-H	116.035	0.0	1.0			C/C(=N/CC(=O)O)/O	InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)		1.0	Negative	BIRMINGHAM-UHPLC-MS-NEG	116.035	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C4H7NO3	OKJIRPAQVSHGFK-UHFFFAOYSA-N	OKJIRPAQVSHGFK	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006121072
4	36	118.08741378784202	1	118.0874137878421	0.0	166.0195	18	18	1-1A01.mzML,bkgrnd-marine-broth.mzML	2	CCMSLIB00005883855	4.0	specs_ms.mgf	GNPS-LIBRARY.mgf	0.705521	12786.1	167.421	10.5958	5.0	0.00125122	118.087	1.0	temp/specs_ms.mgf4	1.0	L-VALINE - 70.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	118.086	0.0	1.0	72-18-4		CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1		1.0	Positive	GNPS-LIBRARY	118.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H11NO2	KZSNJWFQEVHDMF-BYPYZUCNSA-N	KZSNJWFQEVHDMF	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005883855
5	15	120.0820866902672	1	120.0820866902672	0.0	300.00526666666667	3	12	1-1A01.mzML,bkgrnd-marine-broth.mzML	2																																														
6	15	120.0820866902672	1	120.0820866902672	0.0	300.1966	3	12	1-1A01.mzML,bkgrnd-marine-broth.mzML	2																																														
7	3	120.08581288655633	1	120.08581288655633	0.0	280.70733333333334	0	3	bkgrnd-marine-broth.mzML	2	CCMSLIB00000220114	7.0	specs_ms.mgf	MASSBANK.mgf	0.861512	347967.0	282.959	15686.1	5.0	1.9137	120.086	1.0	temp/specs_ms.mgf7	1.0	Massbank:KO003794 Phenylethylamine(2)|beta-Phenylethylamine|Phenethylamine|2-Phenylethylamine|Phenylethylamine	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	122.0	0.0	1.0	64-04-0		NCCc(c1)cccc1	1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2		3.0	Positive	MASSBANK	122.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C8H11N	BHHGXPLMPWCGHP-UHFFFAOYSA-N	BHHGXPLMPWCGHP	Benzenoids	Benzene and substituted derivatives	Phenethylamines	Tyrosine alkaloids	Phenylethylamines	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000220114
8	3	120.08581288655633	1	120.08581288655633	0.0	280.8983333333333	0	3	bkgrnd-marine-broth.mzML	2	CCMSLIB00000425767	8.0	specs_ms.mgf	HMDB.mgf	0.816606	419274.0	280.771	8084.14	5.0	0.978706	120.086	1.0	temp/specs_ms.mgf8	1.0	HMDB:HMDB06236-2480 Phenylacetaldehyde	Positive	Quattro_QQQ:40eV	Isolated	HMDB	HMDB	M+H	121.065	120.058	1.0	122-78-1		O=CCC1=CC=CC=C1	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2		3.0	Positive	HMDB	121.065	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C8H8O	DTUQWGWMVIHBKE-UHFFFAOYSA-N	DTUQWGWMVIHBKE	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000425767
9	12	121.06612014770548	1	121.06612014770548	0.0	202.76141666666663	6	6	1-1A01.mzML,bkgrnd-marine-broth.mzML	2	CCMSLIB00000425767	9.0	specs_ms.mgf	HMDB.mgf	0.928834	34915.4	202.313	7.68832	5.0	0.000930786	121.066	1.0	temp/specs_ms.mgf9	1.0	HMDB:HMDB06236-2480 Phenylacetaldehyde	Positive	Quattro_QQQ:40eV	Isolated	HMDB	HMDB	M+H	121.065	120.058	1.0	122-78-1		O=CCC1=CC=CC=C1	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2		3.0	Positive	HMDB	121.065	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C8H8O	DTUQWGWMVIHBKE-UHFFFAOYSA-N	DTUQWGWMVIHBKE	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000425767
10	2	123.045349121094	1	123.045349121094	0.0	211.211	0	2	bkgrnd-marine-broth.mzML	2																																														
